Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Annual_Return_5Y,Annual_Volatility_5Y,Weight,Risk_Contribution
Adobe Inc.,ADBE,361.03,446.3958922861056,0.2364509660862133,0.0068797043544926,0.3594186356591746,0.009203226901503275,0.0022680936061205558
Advanced Micro Devices,AMD,166.55,56.17838029224878,-0.6626936037691458,0.2639877129088913,0.5067387985373684,0.006565936618514816,0.0023441891137937253
Airbnb,ABNB,126.0,367.5332150936846,1.9169302785213065,0.0849108443118185,0.4832515432320766,0.00802545951862184,0.0022885104226711772
Alphabet Inc.,GOOGL,201.57,267.82376917893964,0.3286886400701476,0.234660783585322,0.3101205324229742,0.010464680981963057,0.00221091733789939
Alphabet Inc.,GOOG,202.49,267.8251171886487,0.3226584877705005,0.234569450018245,0.3089351322108425,0.010474259873067313,0.002210624126787105
Amazon,AMZN,228.01,31.12918592617877,-0.8634744707417272,0.1249138648882221,0.3543299637120808,0.008969709638315537,0.002262431759060846
Amgen,AMGN,295.55,840.7792615186637,1.844795335877732,0.0719930755024256,0.234961950488581,0.020793431924387585,0.001776022437454084
Analog Devices,ADI,230.44,243.91365133245253,0.0584692385542984,0.202946265797268,0.3260874682458943,0.008922944985356264,0.002274539554281968
Apple Inc.,AAPL,230.56,173.77669714118954,-0.2462842767991432,0.1628710868844859,0.2931924154898909,0.010409953965788327,0.0022295525517271983
Applied Materials,AMAT,162.215,144.156286775192,-0.1113257912326727,0.2852202027206763,0.4339839376548318,0.007182327792468806,0.002329042096257482
AppLovin,APP,412.6,84.0014966126283,-0.7964093635176241,0.7190559066600252,0.7818932262816339,0.00574272077462204,0.002370350108610269
Arm Holdings,ARM,134.01,10.0709254342952,-0.9248494482927004,0.6863711419201286,0.7762236506352849,0.006227944046051128,0.0023342358653785002
ASML Holding,ASML,743.61,750.7543171041926,0.0096076130016979,0.2265800809206148,0.4141629604700967,0.007423960401307313,0.002322198241862206
AstraZeneca,AZN,79.54,84.86429371860321,0.0669385682499774,0.1030612978041374,0.2404703154289999,0.021368911457613847,0.0016890783129797176
Atlassian,TEAM,166.21,260.975382676545,0.5701545194425424,0.162338590194838,0.5681710628750262,0.006913091307467711,0.002332485893226204
Autodesk,ADSK,289.24,201.18214803768092,-0.3044456228817557,0.0918513204972097,0.3501100990096445,0.008656349707613087,0.00228756206745481
Automatic Data Processing,ADP,305.72,334.0319225471775,0.0926073614653193,0.1855159986031753,0.2168144717332025,0.01511628036543023,0.0020528141689860188
Axon Enterprise,AXON,758.29,87.70008137258287,-0.8843449321861255,0.5531568009010959,0.4662043551384492,0.009749641070879887,0.0022163779773230444
Baker Hughes,BKR,42.95,53.80246904372341,0.2526768112624775,0.2726916611310475,0.3683112826733572,0.015477322661207892,0.002008271060329315
Biogen,BIIB,138.86,354.6175476323975,1.5537775286792268,-0.048943067967509,0.443158457568178,0.013767378680025545,0.002130735061514383
Booking Holdings,BKNG,5584.08,10970.897631554026,0.9646741507202664,0.2871305937386003,0.3331393355242518,0.011066619941820295,0.002196003778663817
Broadcom,AVGO,294.91,200.74116630105115,-0.3193138031906306,0.5201419717569564,0.4082991664594013,0.008355429516995406,0.002277818406684065
Cadence Design Systems,CDNS,346.88,196.3123546569245,-0.434062630716892,0.2922804903183512,0.3562505931295399,0.008576327743384933,0.002279323892404122
CDW Corporation,CDW,167.58,139.00403361189353,-0.170521341377888,0.1215623812735701,0.2811521649900393,0.011405962430582601,0.002190036639130305
Charter Communications,CHTR,267.01,441.9743979244552,0.6552728284500777,-0.1028392134735251,0.3573682406417228,0.013584711743633057,0.0021208327923704635
Cintas,CTAS,216.43,118.67502017012286,-0.4516701928100408,0.2281769455816062,0.2369444222813152,0.013316971182595349,0.0021336345067607255
Cisco,CSCO,66.76,64.25900505508812,-0.0374624767062894,0.119039628916908,0.2274015444930545,0.014798803117465453,0.0020502318043605266
Cognizant,CTSH,70.86,110.90126492320076,0.5650757115890597,0.0475708025930402,0.2576606938819061,0.012699657321789624,0.002144684393028253
Copart,CPRT,47.81,36.64627137367082,-0.2335019583001293,0.1620402130995858,0.2604685065010105,0.011561237667404071,0.0021818969552331426
CoStar Group,CSGP,88.95,52.00757242667869,-0.4153167799136741,0.0650406720012716,0.3273785106022577,0.010969077676295652,0.0022133891023088286
Costco,COST,980.85,432.2170274030824,-0.559344418205554,0.2387733085832745,0.2260270917436256,0.014850861526684045,0.0020417349639066822
CrowdStrike,CRWD,418.6,385.1648462398832,-0.0798737548019992,0.4017568141334078,0.522568092964985,0.007484605210835922,0.0022966559053775736
CSX Corporation,CSX,36.52,33.33300851550504,-0.0872670176477261,0.1032068922830493,0.235253905102579,0.015076748007423884,0.002044151599782151
Datadog,DDOG,128.99,151.21511244971268,0.1723010500791741,0.2344454458850028,0.5586511508570077,0.006856847429007388,0.0023274083213751444
DexCom,DXCM,80.9,32.24505846650807,-0.6014207853336456,0.0628883287709728,0.4706987807476545,0.009562487828740569,0.0022570736136519162
DoorDash,DASH,248.37,103.16472454724428,-0.5846329083736188,0.2252237074239043,0.5866140482482105,0.006783608685113488,0.002334385652657968
Electronic Arts,EA,170.68,294.2426581781611,0.7239433921851481,0.0704988688746455,0.2498486231401426,0.017613813444806187,0.0018853530261835978
Fastenal,FAST,49.9,25.20182895355736,-0.494953327584021,0.1726016176700495,0.2419313475491442,0.014037897377073052,0.002096044434631336
Fortinet,FTNT,78.09,127.47324711889895,0.6323888733371619,0.3177593725845042,0.4323016023790663,0.008896803921491656,0.0022731257987111324
GE HealthCare,GEHC,73.97,61.92023051567149,-0.1629007636113087,0.1315827938518671,0.3249991383697747,0.013530136955255238,0.0021002999469533945
Gilead Sciences,GILD,117.98,247.99301004220945,1.1019919481455285,0.1437666240898761,0.2344205485309858,0.021837682652304947,0.0017024140507414633
GlobalFoundries,GFS,33.22,16.636159359876064,-0.4992125418459944,0.0331941221716624,0.4987805006678334,0.006903411901198675,0.002345366408021852
Honeywell,HON,216.74,168.37180267232472,-0.2231623019639904,0.0883960663256004,0.2189579196948513,0.015212671908422125,0.002044171919111617
Idexx Laboratories,IDXX,636.71,162.04703964091502,-0.7454931764211101,0.1642619606801719,0.3539044636801933,0.009895338842111372,0.0022555402611144494
Intel,INTC,25.31,-22.60703215094184,-1.893205537374233,-0.0510211024016033,0.4390758411453308,0.009104134816620073,0.0022743573658300944
Intuit,INTU,700.939,630.9297520851682,-0.09987923045348,0.215027503912332,0.3447213454631755,0.008719215781047701,0.002286763727136871
Intuitive Surgical,ISRG,479.2,117.4238948209496,-0.7549584832617913,0.201162840952113,0.3297194567934064,0.009702491796623629,0.002256797896579076
Keurig Dr Pepper,KDP,35.18,74.97849400070989,1.1312818078655456,0.0577187957487857,0.1916659508558165,0.022668507246781763,0.0015697822666315853
KLA Corporation,KLAC,876.08,531.4374923575325,-0.3933915939668381,0.3830822096797567,0.4228957412719791,0.007217450521653353,0.002326671954791885
Lam Research,LRCX,100.33,57.14608410240748,-0.4304187770117863,0.3070879717859373,0.4467826902529319,0.006962564301650592,0.0023355979548194098
Linde plc,LIN,479.92,304.34133922689364,-0.3658498515859025,0.1603212692035389,0.2173678736127876,0.01491126406681194,0.0020574045054219062
Lululemon,LULU,197.66,557.7692049994067,1.8218618081524167,-0.0427449926670507,0.403353842355673,0.009468037498067653,0.002257750801422553
Marriott International,MAR,266.78,295.7827849408448,0.1087142399761782,0.2518933853336081,0.3083996540348309,0.011412040576394337,0.002185977116539838
Marvell Technology,MRVL,72.07,29.09757540107156,-0.596259533771728,0.3122894979274956,0.569918828106036,0.005943007700399694,0.0023664939101354734
Mercado Libre,MELI,2342.94,1483.1615571899176,-0.3669656255858377,0.2626842929938091,0.5079265367716332,0.007259372560257665,0.0023345655395096633
Meta Platforms,META,751.48,594.4050706174064,-0.20902077152099,0.3046226065684297,0.4397812272731194,0.008331476575032722,0.0022871362124573416
Microchip Technology,MCHP,64.71,25.55414625359997,-0.6050974153361154,0.1358472654065071,0.4330811007998231,0.007127464704351221,0.0023383115153536855
Micron Technology,MU,122.05,-24.76642488848746,-1.2029203186275088,0.3116948017227012,0.4659667902169776,0.0077226491539726565,0.002301550112345369
Microsoft,MSFT,509.77,375.2530934412712,-0.2638776439545849,0.2090152928287676,0.2656617515366712,0.010991585900707326,0.0021909169676089875
MicroStrategy,MSTR,336.57,-48.43449012032653,-1.1439061417248315,1.089435698783766,0.9554312472319452,0.005053019713583721,0.002395457531724439
Mondelez International,MDLZ,62.66,136.1427601696129,1.1727219944081215,0.0365983647339698,0.1873512163198073,0.02246908678066353,0.0016233196433343038
Monster Beverage,MNST,63.99,97.49201057961054,0.5235507201064311,0.1177596429677432,0.2400140035576921,0.015816815432054567,0.0020279457408018398
"Netflix, Inc.",NFLX,1214.15,160.408823422418,-0.8678838500824297,0.2824638944195566,0.4412778703017824,0.009262535914139253,0.002247981977677891
Nvidia,NVDA,175.64,146.43501530013742,-0.1662775261891514,0.6660228822494193,0.5272317346403914,0.006313770206418055,0.0023472563615885497
NXP Semiconductors,NXPI,229.27,221.51235322284808,-0.0338362924811441,0.2060982119077645,0.3982787439727696,0.007630841684527872,0.0023193670526390534
O'Reilly Automotive,ORLY,103.06,161.52902978571362,0.5673299998613779,0.2704473794991068,0.2231951331809188,0.020580711025116764,0.001749496837453632
Old Dominion Freight Line,ODFL,154.8,96.68683468675998,-0.3754080446591733,0.1446670056578339,0.3462530763338616,0.010535397129677961,0.0022314652828660094
Onsemi,ON,49.77,49.38051384651029,-0.0078257213881799,0.3076738062421076,0.5189189122323938,0.006530386691538273,0.0023539297426130915
Paccar,PCAR,99.46,139.96476180536155,0.4072467505063499,0.1390744718732938,0.2584272108671814,0.014931736388328875,0.0020456069277909688
Palantir Technologies,PLTR,157.75,3.9013816291195456,-0.9752685792131884,0.8297517429142247,0.7234395014598759,0.006283247769145068,0.0023373450401644987
Palo Alto Networks,PANW,181.56,212.0039577688236,0.1676798731484006,0.3687531936964179,0.4091011699158386,0.009777142606448968,0.0022254462980627423
Paychex,PAYX,139.01,154.67492377277375,0.1126891861936103,0.1532933169245794,0.2299368576418001,0.014118638676107992,0.0021025576568287326
PayPal,PYPL,69.05,110.8555015409491,0.6054381106582059,-0.1218246933693609,0.4239800559345665,0.008412368981682766,0.002294394991701292
PepsiCo,PEP,152.16,248.04432915857024,0.6301546343228854,0.0358815838857085,0.1782682948435995,0.022694632821602424,0.0016155903430020277
Qualcomm,QCOM,156.25,222.7594322626282,0.4256603664808205,0.1384066510523325,0.3858390881022286,0.008154073094813358,0.0022960955877270495
Roper Technologies,ROP,532.59,590.4776864462622,0.1086909000286564,0.0670612369860716,0.2094073057703213,0.015203852569877926,0.002042289580509276
Ross Stores,ROST,147.88,171.95947867101336,0.1628312055113157,0.1543626363193458,0.3158096207081292,0.012720767937691243,0.002148855458480367
Shopify,SHOP,139.25,15.324528947455711,-0.8899495228189895,0.2718961672957394,0.6553582416498566,0.005614724365797349,0.0023749362295659273
Starbucks,SBUX,90.93,83.67200849307703,-0.0798195480800942,0.0776762992954737,0.3106835231070505,0.012019855466487338,0.0021708643228505074
Synopsys,SNPS,612.79,342.0119179137242,-0.4418774491853258,0.2711337282068858,0.35425853940968,0.008453232071956683,0.002283720022403067
T-Mobile US,TMUS,258.22,-38.43371677191287,-1.148840975803241,0.1920868973939467,0.2402066086598915,0.01810333157125962,0.001909032013341499
Take-Two Interactive,TTWO,228.36,17.943451647213568,-0.9214247169065792,0.1087652198482693,0.324978591020031,0.012997779193089027,0.0020953003281041654
"Tesla, Inc.",TSLA,329.31,54.34456737880275,-0.8349744393465041,0.3714812995327353,0.6307038937745586,0.006596319461939302,0.002343596771469471
Texas Instruments,TXN,195.94,83.81275712144384,-0.5722529492628159,0.1180185842167594,0.3034764830486224,0.009865004295000545,0.002240743393669483
Thomson Reuters,TRI,174.96,104.4642753766047,-0.4029248092329407,0.1788207256300241,0.204821293057167,0.01731906159910192,0.0019029475420646183
