Company,Symbol,Previous Close,1y Target Est,Undervalue Rate,Analyst_Count,Annual_Return_5Y,Annual_Volatility_5Y,Weight,BL_Expected_Return
O'Reilly Automotive,ORLY,102.87,1580.0,14.359191212209584,22,0.2653867999685775,0.2231687017565038,0.3230823310355305,0.08462535675752245
Thomson Reuters,TRI,176.09,182.0,0.0335623828723947,16,0.1815482150904319,0.2048261163716895,0.11176679823368202,0.05725348734314801
PepsiCo,PEP,148.98,153.67,0.0314807356692172,51,0.032674929288442,0.178244542899649,0.10432003199078413,0.02754216042901631
Nvidia,NVDA,174.98,190.78,0.0902960338324381,235,0.667832044879233,0.5270666584623265,0.07720746081157921,0.23025557144195777
T-Mobile US,TMUS,258.16,266.4,0.0319181902695999,57,0.1860082658609035,0.2403741023030101,0.06860176411869214,0.058458137199304976
Palantir Technologies,PLTR,156.18,150.0,-0.0395697272378026,66,0.831985846098489,0.7228751705020426,0.06618877377131221,0.2878203180228635
Xcel Energy,XEL,73.16,76.33,0.0433296883542919,21,0.032879760122477,0.2103782132696467,0.06320943936894999,0.022233410978220618
Paccar,PCAR,97.54,111.33,0.1413778962476932,34,0.1460837422867097,0.2589647709598887,0.04496906399073111,0.061187915438328785
Take-Two Interactive,TTWO,227.87,258.0,0.1322245139772677,55,0.1096824937331541,0.324855915450949,0.03651273210847493,0.07524593240899159
Palo Alto Networks,PANW,183.32,254.0,0.3855553131136811,146,0.3717546922110432,0.4089659079408316,0.02877459503218562,0.12604665826721126
Roper Technologies,ROP,526.94,645.0,0.2240482787414126,17,0.0656518382790018,0.209797340995526,0.026537526511056838,0.06365930190033284
Regeneron Pharmaceuticals,REGN,598.16,679.0,0.135147786545406,79,0.0435006149811813,0.3001919098715653,0.02260445894875041,0.04586487943316965
Vertex Pharmaceuticals,VRTX,397.46,482.44,0.2138076787601268,58,0.1252111655762944,0.3011106590813174,0.01852555876035225,0.0450174701575449
